code,expert,model_name,prompt_detail,feedback,satisfaction,better_response_choise,sentiment,response_length,Clarity,Relevance
ITE,"Yes, I am an expert.",Llama-2 13B,Is high intensity interval training only for healthy individuals?,"Svar B er ikke veldig bra... For example, individuals with mobility limitations or joint pain can perform HIIT exercises from a seated position or use resistance bands instead of weights (bruk av resistance bands vs vekter er bare tull for man bruker ikke vekter i det hele tatt for HIIT) Additionally, HIIT workouts can be tailored to specific health goals, such as improving cardiovascular health, increasing muscle strength (det øker ikke styrkekapasitet) and endurance, or managing weight loss. I svar A bør også strengt benefits ut...",4.0,finetuned,1,539,49.0,0.0664033993465993
ITE,"Yes, I am an expert.",Llama-2 13B,What is fitness age and is it relevant for me?,"B is better for den er mer konkret – men ikke perfekt… men det skal vi jo ikke vurdere

",4.0,finetuned,1,90,19.0,0.10996546950374089
ITE,"Yes, I am an expert.",Llama-2 13B,"What is cardiorespiratory fitness, and why does that matter for me?",B kanskje noe bedre for hvorfor det er viktig – begge er for dårlige på hvordan øke cardiorespiratory fitness mest mulig effektivt – som vel ikke er en del av spørsmålet...og burde kanskje ikke være en del av svaret heller...?,4.0,finetuned,0,226,44.0,0.09012368329141265
ITE,"Yes, I am an expert.",Mixtral 8*7B,Is high intensity interval training only for healthy individuals?,,5.0,finetuned,0,4,0.0,0.0
ITE,"Yes, I am an expert.",Mixtral 8*7B,What is fitness age and is it relevant for me?,B er klart best men det med muscle strenght osv er kanskje noe upresist... men ok,4.0,finetuned,1,81,17.0,0.0
ITE,"Yes, I am an expert.",Mixtral 8*7B,"What is cardiorespiratory fitness, and why does that matter for me?",A best fordi det forklarer om maksimalt oksygenopptak...,4.0,base,1,56,9.0,0.0
ITE,"Yes, I am an expert.",LLama-3 8B,Is high intensity interval training only for healthy individuals?,,3.0,base,0,4,0.0,0.0
ITE,"Yes, I am an expert.",LLama-3 8B,What is fitness age and is it relevant for me?,Both A and B are very innacurate... ,3.0,finetuned,1,36,8.0,0.07030492086459506
ITE,"Yes, I am an expert.",LLama-3 8B,"What is cardiorespiratory fitness, and why does that matter for me?",both ok but not perfect...,4.0,finetuned,0,26,6.0,0.0
ITE,"Yes, I am an expert.",Mistral 7B v2,Is high intensity interval training only for healthy individuals?,Both responses are really bad and equally bad... ,1.0,finetuned,-1,49,9.0,0.0
ITE,"Yes, I am an expert.",Mistral 7B v2,What is fitness age and is it relevant for me?,None of the responses so far have grasped the correct way of how we determine fitness age - A is here better but not perfect...,3.0,finetuned,1,127,26.0,0.1333420181962899
ITE,"Yes, I am an expert.",Mistral 7B v2,"What is cardiorespiratory fitness, and why does that matter for me?",,4.0,finetuned,0,4,0.0,0.0
ITE,"Yes, I am an expert.",StableBeluga 7B,Is high intensity interval training only for healthy individuals?,Both responses are equally bad - not good at all,3.0,base,-1,48,10.0,0.0
ITE,"Yes, I am an expert.",StableBeluga 7B,What is fitness age and is it relevant for me?,Both are extremely bad... equally,3.0,finetuned,-1,33,6.0,0.0
ITE,"Yes, I am an expert.",StableBeluga 7B,"What is cardiorespiratory fitness, and why does that matter for me?",none of them are good - A slightly better,2.0,finetuned,1,41,9.0,0.0
ZRG,"Yes, I am an expert.",Llama-2 13B,Is high intensity interval training only for healthy individuals?,"A is the better option. But to much focus on HIIT improving strength i would say... Does it improve stength at all... ? Also, highlight that HIIT is a effective strategy for improving physical fitness effectively (not strength), especially for low fit individuals in a short time. Also mention that (at least in the short term), HIIT is a more effective strategy to improve fitness than moderate and low intensity training, shown in many studies, for different ages and people (with different conditions; diabetes, heart diseases, etc)",3.0,finetuned,1,535,21.0,0.15969523818347528
